scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
2197,1651.03,3,21.85,9,40.26,2,0.01,148.09,180.4,0.01,131.68,143.43,75.32,18443.98338189678,117.25842190893482,58173.26557088997,593.9819537180555,113215.09794734421,1068.8065164849609,5,True,True,True,True
2204,2040.8,3,21.88,12,78.9,2,0.01,51.69,172.16,0.01,92.23,118.02,45.48,16658.697872674646,229.9836543087538,56700.93571047396,1163.4576247273308,111729.23411323979,2292.760510344774,7,True,True,True,True
2206,1728.17,9,50.0,11,60.11,1,0.01,125.6,57.31,0.01,134.99,265.58,126.07,33878.60084890889,387.7738474394038,55039.63826668833,827.9940624339081,108794.45321531742,1628.1022535251143,5,True,True,True,True
2192,1025.12,9,42.91,4,33.94,1,0.01,46.67,267.05,0.01,84.06,192.24,106.87,43210.78076432781,350.05693275248234,57993.325324710364,367.6769753832039,113192.4572691607,704.2086984415,5,True,True,True,True
2180,1007.02,4,55.61,7,81.38,1,0.01,84.17,287.47,0.01,125.4,249.02,143.4,91917.25007151914,856.3236041415973,60211.20630752666,233.53633740998285,115722.41112455558,417.63075200261136,5,True,True,True,True
2207,1780.11,4,35.68,9,29.55,1,0.01,36.02,284.71,0.01,95.92,103.37,38.39,18129.942050753834,265.68459414629166,57302.413761139615,870.8951557232854,112408.95829716735,1601.0008300701975,5,True,True,True,True
2213,2136.02,6,44.18,2,27.47,1,0.01,129.03,118.32,0.01,82.61,242.87,66.94,18175.70050530649,283.20231801903407,57254.767568148876,944.5957258537217,111025.42992886157,1837.5351579936817,6,True,True,True,True
2212,2056.95,6,34.49,2,35.33,1,0.01,117.95,167.04,0.01,31.71,214.09,149.02,18466.47087033491,221.60310545126825,57088.20143139274,957.7428068699464,111208.7606123376,1862.8726574628065,6,True,True,True,True
2215,1969.76,12,15.13,11,74.76,2,0.01,145.26,257.59,0.01,135.84,66.86,124.6,14506.336949251026,141.8036698261138,54964.535905797624,1009.0462858927768,108703.63203777508,2017.5907050574795,6,True,True,True,True
2205,1419.71,10,35.71,9,56.62,2,0.01,93.45,289.98,0.01,108.94,262.65,109.71,45284.12640144577,429.9212235527764,56992.34066505947,745.758386314848,111844.64011362211,1474.4841803859324,5,True,True,True,True
2208,2079.0,5,22.44,7,90.3,1,0.01,127.42,278.82,0.01,33.8,113.95,50.18,20752.16924691226,469.2456995437516,56685.694567541395,1074.291311790806,111432.93706603232,2086.4033421291115,9,True,True,True,True
2155,942.38,4,20.71,4,106.69,1,0.01,96.3,276.26,0.01,126.99,77.92,120.89,43166.680113081486,596.0884396229097,61796.420627911764,1270.2443302255956,118908.04703615373,2331.090142285137,7,True,True,True,True
2210,1979.92,3,29.85,4,76.3,1,0.01,141.28,167.05,0.01,52.44,171.01,28.61,25307.19692534643,571.0950031384573,57202.26557776396,761.602083388788,111967.98150770164,1411.500613147262,8,True,True,True,True
2217,1399.78,6,62.47,8,53.97,2,0.01,105.44,126.8,0.01,118.66,157.0,108.17,37038.91447521514,150.34652838646767,57326.30339531853,931.0496758518941,113164.14208944676,1849.6840508033038,6,True,True,True,True
2211,1997.6,9,38.4,2,80.04,1,0.01,25.69,183.76,0.01,75.89,279.79,69.71,34970.60620108531,798.2104368004314,57990.77251392675,752.0839147648413,111424.03965904529,1371.16977114254,8,True,True,True,True
2216,1417.2,8,47.47,11,62.69,2,0.01,146.02,84.85,0.01,25.06,80.16,132.53,24850.081553304353,387.02067692301694,54823.0346721004,1002.5603503467049,108594.10943976892,1963.9727092150163,7,True,True,True,True
2179,687.91,10,12.64,8,62.85,2,0.01,118.48,175.34,0.01,52.87,195.45,144.13,53395.57068039483,672.7984304236666,57028.90364493893,449.7909792696505,111661.38212891917,835.7442778218515,5,True,True,True,True
2219,1853.12,6,32.61,7,33.29,1,0.01,71.17,277.05,0.01,115.64,276.15,58.28,24825.471261560237,420.35971987709644,56070.742283912434,1406.1756674744142,109973.35124013414,2753.1708700758372,10,True,True,True,True
2224,1851.28,2,36.3,10,33.45,2,0.01,42.42,241.93,0.01,98.96,103.03,138.14,16612.83478510092,127.51670331621891,58970.0002623046,736.7323845587466,114364.02471107055,1403.4614728642719,5,True,True,True,True
2231,2207.53,7,39.01,11,112.74,2,0.01,122.47,224.96,0.01,30.52,87.22,138.04,23433.363313366328,420.6226100892415,55515.97525025681,835.9369536689078,109651.41170214221,1585.696635156481,6,True,True,True,True
2227,1959.72,12,10.63,7,53.26,1,0.01,34.62,159.81,0.01,44.8,115.91,115.88,9647.145375130463,133.46977455262095,55825.542510049265,1199.73835726356,110754.8393920333,2365.809457423964,7,True,True,True,True
2221,1626.94,10,61.84,2,49.48,2,0.01,24.96,171.58,0.01,111.34,273.81,75.41,35452.48473318332,664.8699199190817,60202.861167562376,773.8169047137436,114762.023126335,1483.1670893406094,6,True,True,True,True
2226,1514.48,3,43.76,10,117.24,2,0.01,117.77,116.8,0.01,120.85,201.55,50.66,53563.077309893095,403.7458745468625,57564.95709894138,898.9690123114892,112717.01951184911,1805.2825974493892,6,True,True,True,True
2228,1874.72,10,33.08,11,47.48,1,0.01,147.23,271.85,0.01,48.67,191.61,55.3,26886.523549576126,563.1484767235146,56226.03959893631,641.2160764764642,110853.37873569017,1285.2595797708113,7,True,True,True,True
2220,2054.8,11,45.34,2,113.64,2,0.01,33.24,110.86,0.01,104.88,289.98,65.14,44569.700606102284,541.7328345500794,58669.149790283016,1620.9533838279735,112916.43989982331,3056.5168582817982,10,True,True,True,True
2230,2315.27,3,55.3,10,119.84,1,0.01,111.8,247.62,0.01,105.5,143.31,32.42,37227.020205281915,496.8818853818015,57321.89373852468,1183.6902227332791,112160.0833160196,2299.633428692916,7,True,True,True,True
2237,2014.78,8,52.99,9,54.74,2,0.01,113.68,184.04,0.01,123.19,152.75,24.35,27147.567409913212,358.03726381116167,55570.8801579679,766.7183094545076,110002.78903094698,1429.4544803410458,5,True,True,True,True
2214,1121.77,11,18.28,3,110.02,1,0.01,67.35,118.61,0.01,111.85,173.76,71.75,48879.52410644283,1071.5052903744042,57304.10712804265,711.8242883729192,111573.93930439072,1361.183969176788,8,True,True,True,True
2209,1172.65,12,12.8,2,92.2,2,0.01,98.82,240.79,0.01,78.77,219.88,142.05,48232.36152858822,733.7918895727566,60145.37363699722,1092.349290146787,114009.53602526942,1802.5322032050663,6,True,True,True,True
