scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
11525,1836.68,7,11.96,3,72.13,1,0.01,31.26,157.62,0.01,138.64,284.73,129.98,29653.123026506266,605.6190704647423,57390.06642154154,1212.3944124233055,111389.3672067104,2309.3423070739063,7,True,True,True,True
11527,1599.56,8,55.43,2,104.09,2,0.01,61.62,168.93,0.01,96.92,199.65,97.71,48767.988265061074,398.90982790381963,57401.66368341425,611.9991576046644,110926.37371483217,1163.1043499916354,5,True,True,True,True
11529,1788.24,11,26.69,5,100.5,1,0.01,121.63,113.77,0.01,83.58,107.06,26.17,22668.8804169242,279.83628174999484,55524.461339830654,837.5703478299171,110345.62952657013,1659.3059894392045,5,True,True,True,True
11442,728.95,2,31.51,4,64.8,2,0.01,83.67,234.78,0.01,129.7,50.1,147.57,44017.020339381015,557.458963163626,120168.72880582264,3063.187006338522,195104.4980754049,4395.00818178679,10,True,True,True,True
11531,2376.85,12,39.8,3,47.39,1,0.01,63.8,85.08,0.01,36.8,101.57,130.62,10051.596354248924,185.47283302718557,54327.46736620032,903.6462324135173,107844.53048565233,1825.817385006721,6,True,True,True,True
11530,2104.1,11,16.98,11,50.02,1,0.01,79.73,188.03,0.01,143.67,231.9,137.41,18396.6204560285,550.7023579038658,55078.77507124575,1667.4990387155506,108754.05835692103,3283.525603458248,13,True,True,True,True
11535,2332.69,4,43.65,6,85.95,2,0.01,99.16,229.75,0.01,119.21,68.98,59.34,20527.376187987982,471.95740536915673,55744.14416614597,1364.2180344755116,109859.4084514669,2694.123109617733,9,True,True,True,True
11534,2187.46,3,35.18,8,115.81,1,0.01,56.01,240.89,0.01,121.24,288.86,53.15,46208.54230725285,824.5224861449965,57528.4972781071,1594.3933402747348,112467.78866918774,3107.5054789485675,10,True,True,True,True
11533,1460.43,5,35.85,8,42.95,2,0.01,134.08,288.36,0.01,121.77,281.38,31.95,41906.483673623945,882.1614285942705,58556.228829564876,758.6445100452033,114020.39144277306,1502.6164416478011,7,True,True,True,True
11536,1440.04,11,51.5,4,73.2,1,0.01,136.78,260.09,0.01,36.94,118.44,101.48,43930.8099068299,765.2802614941938,56220.66100779891,245.65844650475307,110810.4670564661,472.50050301694637,6,True,True,True,True
11537,1983.9,4,46.35,10,61.79,1,0.01,95.12,232.3,0.01,107.21,199.62,118.83,31460.940245923222,784.5927522201965,57046.897109762205,1307.3551934827856,111815.27814134998,2549.0403945998987,9,True,True,True,True
11528,871.92,12,43.05,8,123.95,2,0.01,110.29,170.0,0.01,103.58,289.51,100.89,126522.36191043229,1532.9935359440483,56778.85583462389,1021.3353531612976,111029.16520832475,2077.9170448280556,6,True,True,True,True
11538,1828.92,4,13.45,3,75.57,1,0.01,94.47,219.21,0.01,121.35,273.78,110.41,31984.85925492915,532.5237091952347,58257.34235345663,846.5514133986617,113172.30535919454,1568.5434424349273,6,True,True,True,True
11539,1324.82,7,36.66,2,65.54,1,0.01,133.68,61.42,0.01,59.01,136.68,52.26,27736.279177804023,360.91284312230994,56497.97127372824,448.6436838017222,110293.2544152018,927.0070891952663,5,True,True,True,True
11541,1755.01,3,42.81,10,82.51,1,0.01,66.37,132.13,0.01,113.26,247.2,35.57,38207.70022397822,873.3997308610816,56729.21258976022,1348.6413711185978,111557.76249778658,2654.2983478538117,8,True,True,True,True
11540,1796.1,2,44.06,8,112.33,2,0.01,40.88,239.77,0.01,49.27,191.11,115.1,42496.23505987199,487.56314712619746,59771.44810593213,789.4875620046519,115765.55930552997,1546.061262085757,5,True,True,True,True
11543,1499.52,10,10.24,12,102.33,2,0.01,78.77,214.01,0.01,44.16,195.0,118.95,35057.33865210663,625.0193514145425,55523.581415129534,666.5547356616032,109618.54812468108,1318.8840569768363,7,True,True,True,True
11526,818.85,7,33.88,3,29.95,2,0.01,90.8,221.82,0.01,146.09,213.71,121.47,46868.21205981394,317.25056635529006,60691.845975419616,1288.9302405025533,115514.99412416798,2163.6404878690246,7,True,True,True,True
11542,1368.32,7,36.86,2,78.25,1,0.01,80.04,172.27,0.01,74.78,250.69,148.04,48163.95503496551,925.3124310975535,60023.41438037749,1008.4681484244239,114161.81470890867,1828.6901507520547,7,True,True,True,True
11546,1467.71,5,35.44,4,87.94,1,0.01,131.53,210.33,0.01,100.3,55.87,37.11,27360.14307756592,342.67998434997816,57311.12516846843,1051.5598675415663,112638.7870419552,2132.784061657201,6,True,True,True,True
