scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_cycle_time,kpi_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
221,1418.89,7,57.38,4,90.42,1,0.01,61.75,98.44,0.01,105.79,123.45,139.71,33893.707855941095,17332.578906167666,33874.94176346883,7,True,True,True,True
223,2196.13,7,45.46,6,52.74,1,0.01,74.0,211.33,0.01,122.03,52.02,139.67,16604.5968767764,17306.832115194222,33739.434146846914,10,True,True,True,True
222,1278.98,5,47.92,9,110.98,1,0.01,93.98,182.08,0.01,84.32,146.22,34.91,53241.626469868424,18105.94325757405,34852.07247271709,5,True,True,True,True
224,1573.54,7,42.25,4,31.5,1,0.01,56.23,281.65,0.01,47.0,108.24,140.36,24419.974882421964,17861.843527056597,34382.61130734575,5,True,True,True,True
156,849.7,2,15.11,2,27.7,1,0.01,141.49,233.26,0.01,34.78,288.64,77.24,35300.15901248875,84925.74100672298,119941.05283325141,13,True,True,True,True
225,1684.55,8,62.42,6,44.15,2,0.01,74.3,232.01,0.01,140.52,189.38,31.24,36667.82008245604,17451.08284271819,33786.8575941794,5,True,True,True,True
226,1809.65,11,59.92,9,107.1,2,0.01,81.7,60.15,0.01,105.98,152.12,96.59,32632.546946061735,17005.658569409043,33376.04171073,6,True,True,True,True
229,2186.34,5,10.33,12,51.77,1,0.01,111.59,135.78,0.01,122.27,166.74,25.27,12340.586491389728,17319.335242066572,33770.758458267985,7,True,True,True,True
228,1790.54,8,36.29,6,49.7,2,0.01,74.41,290.56,0.01,147.51,193.41,73.93,29636.934468069267,17745.025029851666,34107.55270869765,8,True,True,True,True
232,1643.2,11,38.95,9,48.32,2,0.01,67.65,141.24,0.01,49.1,115.9,123.62,18785.45983786586,16827.339311039348,32921.111420483656,5,True,True,True,True
231,1585.98,3,18.11,11,62.9,1,0.01,103.47,82.19,0.01,47.72,152.94,131.46,18746.396227701913,17914.14800634276,34527.535458592734,6,True,True,True,True
227,1494.35,4,19.09,7,59.08,1,0.01,30.97,292.61,0.01,46.53,143.4,138.18,22039.042785442256,18983.973186104246,36002.61847621045,6,True,True,True,True
234,2040.76,5,24.8,6,51.36,2,0.01,131.82,92.19,0.01,105.99,299.38,133.57,23514.739940832784,17683.691925423223,34060.02004099276,7,True,True,True,True
236,2089.74,12,58.29,5,97.12,1,0.01,37.9,195.9,0.01,129.84,115.81,67.45,28404.59791829547,17107.04217413321,33407.14875565207,7,True,True,True,True
235,1498.06,12,13.48,2,30.51,1,0.01,129.42,138.39,0.01,121.21,224.32,93.26,16464.72897994371,19629.848401016185,37039.3637967486,5,True,True,True,True
238,1341.41,5,60.04,11,82.21,2,0.01,105.88,135.33,0.01,78.72,150.6,59.65,45389.84953445019,17687.105435957877,34190.16005086958,5,True,True,True,True
240,1786.41,6,22.57,2,63.91,1,0.01,54.17,229.18,0.01,70.73,280.79,60.73,30774.385073020705,19736.3022610136,36945.161186912745,6,True,True,True,True
233,770.13,2,15.84,8,66.32,1,0.01,25.67,142.75,0.01,86.16,269.72,127.4,61966.85302714947,22854.93291250719,41038.62983545717,5,True,True,True,True
241,996.98,3,48.76,5,64.69,2,0.01,33.09,167.35,0.01,40.32,111.7,101.41,38064.21919708116,19230.209053916788,36391.468846571595,5,True,True,True,True
237,1459.78,4,20.89,2,102.97,1,0.01,29.87,107.54,0.01,95.31,295.72,26.23,53082.8646149033,22351.778864698266,40162.903032618764,17,True,True,True,True
230,614.87,11,57.98,7,124.27,1,0.01,148.55,275.02,0.01,137.47,130.7,33.54,154339.0129093677,19060.095240348608,36061.5790563223,5,True,True,True,True
243,1446.87,9,53.31,11,117.06,2,0.01,74.91,239.88,0.01,113.8,58.68,141.24,38984.69759978815,17435.540086970203,33789.02581296167,7,True,True,True,True
245,1333.56,6,16.0,7,31.97,2,0.01,131.31,115.48,0.01,47.7,82.17,64.83,11089.99633281009,17608.74442675122,34271.70668245842,5,True,True,True,True
242,755.54,6,31.97,11,33.11,2,0.01,70.49,208.66,0.01,128.19,146.44,64.31,41558.89060248925,19051.294497846866,36154.27854711689,5,True,True,True,True
34,607.25,3,22.74,11,88.36,1,0.01,134.97,274.73,0.01,145.48,277.66,109.4,130570.72072068513,83328.55566996007,119293.15291942125,20,True,True,True,True
244,765.88,8,27.8,6,88.75,1,0.01,78.07,84.91,0.01,102.02,237.72,71.63,78947.74869237326,18439.525881604695,35404.836988862364,5,True,True,True,True
247,1965.5,4,41.45,10,80.42,1,0.01,88.62,238.66,0.01,72.04,152.48,85.2,29763.30058041996,18076.470730782992,34649.686368968105,6,True,True,True,True
249,2308.41,12,59.17,12,24.18,1,0.01,25.75,134.4,0.01,123.19,188.06,80.42,13656.743921486825,17105.838768539397,33418.59816222939,8,True,True,True,True
248,1776.71,12,12.34,10,100.69,2,0.01,132.45,194.11,0.01,68.25,107.7,89.62,20123.885391802574,17284.91754156314,33761.35438218374,8,True,True,True,True
252,1612.77,12,52.33,7,80.07,1,0.01,120.1,103.37,0.01,88.42,72.11,149.63,25208.608435603575,16840.92351740566,33010.76606207482,7,True,True,True,True
239,627.3,4,47.48,4,63.12,2,0.01,68.1,64.16,0.01,101.47,258.77,31.44,82916.21669051377,22949.88173628291,40653.5821922896,8,True,True,True,True
251,1591.86,12,21.5,11,59.07,1,0.01,48.38,84.08,0.01,72.79,235.59,139.22,24500.27050060857,17240.797840792264,33607.500678228906,9,True,True,True,True
246,1054.34,7,51.1,5,95.57,2,0.01,129.95,292.16,0.01,45.69,297.9,53.95,103933.68668283502,19459.92300821152,36410.53125579286,5,True,True,True,True
250,967.12,9,13.98,9,43.8,1,0.01,43.51,182.6,0.01,34.34,121.16,56.4,19591.039253081562,17459.996768855413,33993.12490728505,5,True,True,True,True
256,1888.77,9,62.22,12,68.91,1,0.01,51.96,289.41,0.01,137.0,191.88,119.46,41786.63147937889,17403.612260294736,33496.132632923414,5,True,True,True,True
255,2055.41,12,50.87,7,81.04,1,0.01,41.2,285.71,0.01,99.59,205.34,111.32,36740.03201674726,17297.064866649755,33414.12918185797,6,True,True,True,True
