scenario_id,arrival_rate_mean,res_Clerk_amount,res_Clerk_cost,res_Credit_Officer_amount,res_Credit_Officer_cost,res_System_amount,res_System_cost,el_sid-4B24111F-B305-4608-9E12-744B47C44D0D_duration,el_sid-D048D99D-F549-43B8-8ACB-5AE153B12B0F_duration,el_sid-3744BAA1-9382-4FAB-B7FE-B6A333F10D25_duration,el_sid-622A1118-4766-43B2-A004-7DADE521982D_duration,el_sid-02577CBF-ABA3-4EFD-9480-E1DFCF238B1C_duration,el_sid-503A048D-6344-446A-8D67-172B164CF8FA_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
1050,1499.15,12,62.29,5,28.95,1,0.01,138.1,134.98,0.01,51.22,102.5,129.38,28437.44370215228,490.0484523570983,54515.81227007237,747.3239920682172,108096.6230221197,1477.1270616004997,6,True,True,True,True
1051,1987.95,2,20.23,4,39.82,2,0.01,98.7,268.84,0.01,36.81,190.81,62.24,16673.082631250687,267.0433123062845,61168.2180739407,843.3330095762494,117771.6809469751,1665.5965212272852,5,True,True,True,True
1052,1107.04,4,31.86,7,118.0,2,0.01,88.32,48.32,0.01,55.02,149.98,77.05,46560.17831248023,385.2566016174055,55923.47001919316,346.30347996862986,110449.5637821128,693.4243644954383,5,True,True,True,True
1053,2121.55,8,53.49,5,34.53,1,0.01,101.62,225.69,0.01,43.58,249.35,146.62,26863.87929851352,422.8947331379064,54921.97006259605,203.3469581627281,107955.86175409183,385.8248500145347,5,True,True,True,True
1054,647.46,8,35.26,10,96.88,2,0.01,130.58,290.69,0.01,62.04,128.58,72.56,94123.40369953866,1158.362288737786,59708.1710014372,736.6984720219199,115567.75781194482,1443.8020925492065,5,True,True,True,True
1055,2035.74,7,40.63,2,62.09,2,0.01,56.46,163.34,0.01,29.88,166.22,36.02,20703.06890924507,437.5682201698553,56060.27743424992,1079.1965104240935,109927.35984260873,2165.968819352842,8,True,True,True,True
1056,2259.21,3,34.18,3,81.39,2,0.01,59.69,129.23,0.01,87.91,163.09,90.91,20375.386399611165,482.769122583708,55818.70089531879,1390.6640699237414,110051.3146615252,2740.4243505228837,9,True,True,True,True
1057,1318.35,5,27.16,7,38.2,1,0.01,137.79,184.43,0.01,45.2,277.1,120.09,32540.648938869686,239.36972234605804,57010.643117611726,254.8659378525078,111422.34014061112,476.2583447636163,5,True,True,True,True
1058,678.71,6,34.93,3,102.94,2,0.01,67.91,146.54,0.01,122.16,278.21,51.52,124369.41968468556,1595.8189334199726,72117.12291403244,1683.41457953731,127378.22405850206,2271.084823309714,8,True,True,True,True
1059,1411.29,8,32.73,5,52.94,2,0.01,117.06,67.9,0.01,88.66,264.18,77.34,32241.505223161526,674.9434583445167,55347.93688086466,1286.0268799993848,108576.1122669456,2534.3046418191034,8,True,True,True,True
